T (K);H (kJ/kmol)
119,2;-88552,07604
119,25;-88549,31275
119,3;-88546,59133
119,35;-88543,82804
119,4;-88541,06476
119,45;-88538,30147
119,5;-88535,58005
119,55;-88532,81676
119,6;-88530,05347
119,65;-88527,33205
119,7;-88524,56876
119,75;-88521,80548
119,8;-88519,04219
119,85;-88516,32077
119,9;-88513,55748
119,95;-88510,79419
120;-88508,0309
120,05;-88505,26762
120,1;-88502,5462
120,15;-88499,78291
120,2;-88497,01962
120,25;-88494,25633
120,3;-88491,49304
120,35;-88488,77162
120,4;-88486,00834
120,45;-88483,24505
120,5;-88480,48176
120,55;-88477,71847
120,6;-88474,95518
120,65;-88472,1919
120,7;-88469,42861
120,75;-88466,66532
120,8;-88463,9439
120,85;-88461,18061
120,9;-88458,41732
120,95;-88455,65404
121;-88452,89075
121,05;-88450,12746
121,1;-88447,36417
121,15;-88444,60088
121,2;-88441,8376
121,25;-88439,07431
121,3;-88436,31102
121,35;-88433,54773
121,4;-88430,78444
121,45;-88428,02116
121,5;-88425,25787
121,55;-88422,49458
121,6;-88419,73129
121,65;-88416,968
121,7;-88414,20472
121,75;-88411,44143
121,8;-88408,63627
121,85;-88405,87298
121,9;-88403,1097
121,95;-88400,34641
122;-88397,58312
122,05;-88394,81983
122,1;-88392,05654
122,15;-88389,29326
122,2;-88386,4881
122,25;-88383,72481
122,3;-88380,96152
122,35;-88378,19824
122,4;-88375,43495
122,45;-88372,62979
122,5;-88369,8665
122,55;-88367,10322
122,6;-88364,33993
122,65;-88361,57664
122,7;-88358,77148
122,75;-88356,0082
122,8;-88353,24491
122,85;-88350,48162
122,9;-88347,67646
122,95;-88344,91318
123;-88342,14989
123,05;-88339,34473
123,1;-88336,58144
123,15;-88333,81816
123,2;-88331,013
123,25;-88328,24971
123,3;-88325,48642
123,35;-88322,68127
123,4;-88319,91798
123,45;-88317,15469
123,5;-88314,34954
123,55;-88311,58625
123,6;-88308,78109
123,65;-88306,0178
123,7;-88303,21265
123,75;-88300,44936
123,8;-88297,68607
123,85;-88294,88092
123,9;-88292,11763
123,95;-88289,31247
124;-88286,54918
124,05;-88283,74403
124,1;-88280,98074
124,15;-88278,17558
124,2;-88275,4123
124,25;-88272,60714
124,3;-88269,84385
124,35;-88267,0387
124,4;-88264,27541
124,45;-88261,47025
124,5;-88258,6651
124,55;-88255,90181
124,6;-88253,09665
124,65;-88250,33336
124,7;-88247,52821
124,75;-88244,72305
124,8;-88241,95976
124,85;-88239,15461
124,9;-88236,34945
124,95;-88233,58616
125;-88230,78101
125,05;-88227,97585
125,1;-88225,21256
125,15;-88222,40741
125,2;-88219,60225
125,25;-88216,83896
125,3;-88214,03381
125,35;-88211,22865
125,4;-88208,4235
125,45;-88205,66021
125,5;-88202,85505
125,55;-88200,0499
125,6;-88197,24474
125,65;-88194,43958
125,7;-88191,6763
125,75;-88188,87114
125,8;-88186,06598
125,85;-88183,26083
125,9;-88180,45567
125,95;-88177,65052
126;-88174,88723
126,05;-88172,08207
126,1;-88169,27692
126,15;-88166,47176
126,2;-88163,6666
126,25;-88160,86145
126,3;-88158,05629
126,35;-88155,25114
126,4;-88152,44598
126,45;-88149,64082
126,5;-88146,83567
126,55;-88144,03051
126,6;-88141,22536
126,65;-88138,4202
126,7;-88135,61504
126,75;-88132,80989
126,8;-88130,00473
126,85;-88127,19958
126,9;-88124,39442
126,95;-88121,58926
127;-88118,78411
