T (K);H (kJ/kmol)
117,5;-88628,90382
117,55;-88625,59625
117,6;-88622,24681
117,65;-88618,93924
117,7;-88615,63166
117,75;-88612,32409
117,8;-88609,01652
117,85;-88605,70895
117,9;-88602,35951
117,95;-88599,05194
118;-88595,74436
118,05;-88592,39492
118,1;-88589,08735
118,15;-88585,77978
118,2;-88582,43034
118,25;-88579,12277
118,3;-88575,77333
118,35;-88572,46576
118,4;-88569,11632
118,45;-88565,76688
118,5;-88562,4593
118,55;-88559,10986
118,6;-88555,76042
118,65;-88552,45285
118,7;-88549,10341
118,75;-88545,75397
118,8;-88542,40453
118,85;-88539,09696
118,9;-88535,74752
118,95;-88532,39808
119;-88529,04864
119,05;-88525,6992
119,1;-88522,34976
119,15;-88519,00032
119,2;-88515,65088
119,25;-88512,30144
119,3;-88508,952
119,35;-88505,60256
119,4;-88502,25312
119,45;-88498,86181
119,5;-88495,51237
119,55;-88492,16293
119,6;-88488,81349
119,65;-88485,42218
119,7;-88482,07274
119,75;-88478,7233
119,8;-88475,332
119,85;-88471,98256
119,9;-88468,59125
119,95;-88465,24181
120;-88461,8505
120,05;-88458,50106
120,1;-88455,10975
120,15;-88451,76031
120,2;-88448,369
120,25;-88444,9777
120,3;-88441,62826
120,35;-88438,23695
120,4;-88434,84564
120,45;-88431,45433
120,5;-88428,10489
120,55;-88424,71358
120,6;-88421,32228
120,65;-88417,93097
120,7;-88414,53966
120,75;-88411,14835
120,8;-88407,75704
120,85;-88404,36574
120,9;-88400,97443
120,95;-88397,58312
121;-88394,19181
121,05;-88390,75864
121,1;-88387,36733
121,15;-88383,97602
121,2;-88380,58471
121,25;-88377,1934
121,3;-88373,76023
121,35;-88370,36892
121,4;-88366,93574
121,45;-88363,54444
121,5;-88360,15313
121,55;-88356,71995
121,6;-88353,32864
121,65;-88349,89547
121,7;-88346,50416
121,75;-88343,07098
121,8;-88339,63781
121,85;-88336,2465
121,9;-88332,81332
121,95;-88329,38015
122;-88325,94697
122,05;-88322,55566
122,1;-88319,12249
122,15;-88315,68931
122,2;-88312,25614
122,25;-88308,82296
122,3;-88305,38978
122,35;-88301,95661
122,4;-88298,52343
122,45;-88295,09026
122,5;-88291,65708
122,55;-88288,2239
122,6;-88284,79073
122,65;-88281,35755
122,7;-88277,88251
122,75;-88274,44933
122,8;-88271,01616
122,85;-88267,58298
122,9;-88264,10794
122,95;-88260,67476
123;-88257,19972
123,05;-88253,76654
123,1;-88250,33336
123,15;-88246,85832
123,2;-88243,42514
123,25;-88239,9501
123,3;-88236,47506
123,35;-88233,04188
123,4;-88229,56684
123,45;-88226,09179
123,5;-88222,65862
123,55;-88219,18357
123,6;-88215,70853
123,65;-88212,23348
123,7;-88208,75844
123,75;-88205,2834
123,8;-88201,85022
123,85;-88198,37518
123,9;-88194,90013
123,95;-88191,42509
124;-88187,90818
124,05;-88184,43313
124,1;-88180,95809
124,15;-88177,48304
124,2;-88174,008
124,25;-88170,53296
124,3;-88167,01604
124,35;-88163,541
124,4;-88160,06596
124,45;-88156,54904
124,5;-88153,074
124,55;-88149,59896
124,6;-88146,08204
124,65;-88142,607
124,7;-88139,09009
124,75;-88135,61504
124,8;-88132,09813
124,85;-88128,58122
124,9;-88125,10618
124,95;-88121,58926
125;-88118,07235
125,05;-88114,55544
125,1;-88111,0804
125,15;-88107,56348
125,2;-88104,04657
125,25;-88100,52966
125,3;-88097,01275
125,35;-88093,49584
125,4;-88089,97892
125,45;-88086,46201
125,5;-88082,9451
125,55;-88079,42819
125,6;-88075,91128
125,65;-88072,3525
125,7;-88068,83558
125,75;-88065,31867
125,8;-88061,80176
125,85;-88058,24298
125,9;-88054,72607
125,95;-88051,20916
126;-88047,65038
126,05;-88044,13346
126,1;-88040,57468
126,15;-88037,05777
126,2;-88033,49899
126,25;-88029,98208
126,3;-88026,4233
126,35;-88022,86452
126,4;-88019,34761
126,45;-88015,78883
126,5;-88012,23005
126,55;-88008,67127
126,6;-88005,11249
126,65;-88001,59558
126,7;-87998,0368
126,75;-87994,47802
126,8;-87990,91924
126,85;-87987,36046
126,9;-87983,80168
126,95;-87980,2429
127;-87976,64225
127,05;-87973,08347
127,1;-87969,52469
127,15;-87965,96591
127,2;-87962,40713
127,25;-87958,80648
127,3;-87955,2477
127,35;-87951,68892
127,4;-87948,08827
127,45;-87944,52949
127,5;-87940,92884
127,55;-87937,37006
127,6;-87933,76942
127,65;-87930,21064
127,7;-87926,60999
127,75;-87923,00934
127,8;-87919,45056
127,85;-87915,84991
127,9;-87912,24926
127,95;-87908,64862
128;-87905,04797
128,05;-87901,44732
128,1;-87897,88854
128,15;-87894,28789
128,2;-87890,68724
128,25;-87887,0866
128,3;-87883,48595
128,35;-87879,84343
128,4;-87876,24278
128,45;-87872,64214
128,5;-87869,04149
128,55;-87865,44084
128,6;-87861,79832
128,65;-87858,19768
128,7;-87854,59703
128,75;-87850,95451
128,8;-87847,35386
128,85;-87843,71135
128,9;-87840,1107
128,95;-87836,46818
129;-87832,86754
129,05;-87829,22502
129,1;-87825,5825
129,15;-87821,98186
129,2;-87818,33934
129,25;-87814,69682
129,3;-87811,05431
129,35;-87807,45366
129,4;-87803,81114
129,45;-87800,16863
129,5;-87796,52611
129,55;-87792,8836
129,6;-87789,24108
129,65;-87785,59856
129,7;-87781,95605
129,75;-87778,27166
129,8;-87774,62915
129,85;-87770,98663
129,9;-87767,34412
129,95;-87763,7016
130;-87760,01722
130,05;-87756,3747
130,1;-87752,69032
130,15;-87749,0478
130,2;-87745,36342
130,25;-87741,7209
130,3;-87738,03652
130,35;-87734,394
130,4;-87730,70962
130,45;-87727,02523
130,5;-87723,38272
130,55;-87719,69833
130,6;-87716,01395
130,65;-87712,32956
130,7;-87708,64518
130,75;-87704,9608
130,8;-87701,31828
130,85;-87697,6339
130,9;-87693,94951
130,95;-87690,22326
131;-87686,53888
131,05;-87682,85449
131,1;-87679,17011
131,15;-87675,48572
131,2;-87671,80134
131,25;-87668,07509
131,3;-87664,3907
131,35;-87660,66445
131,4;-87656,98007
131,45;-87653,29568
131,5;-87649,56943
131,55;-87645,88505
131,6;-87642,1588
131,65;-87638,43254
131,7;-87634,74816
131,75;-87631,02191
131,8;-87627,29566
131,85;-87623,5694
131,9;-87619,88502
131,95;-87616,15877
132;-87612,43252
132,05;-87608,70626
132,1;-87604,98001
132,15;-87601,25376
132,2;-87597,52751
132,25;-87593,80126
132,3;-87590,075
132,35;-87586,30688
132,4;-87582,58063
132,45;-87578,85438
132,5;-87575,12813
132,55;-87571,36001
132,6;-87567,63376
132,65;-87563,9075
132,7;-87560,13938
132,75;-87556,41313
132,8;-87552,64501
132,85;-87548,87689
132,9;-87545,15064
132,95;-87541,38252
133;-87537,6144
133,05;-87533,88815
133,1;-87530,12003
133,15;-87526,35191
133,2;-87522,58379
133,25;-87518,81567
133,3;-87515,04755
133,35;-87511,27943
133,4;-87507,51131
133,45;-87503,74319
133,5;-87499,97507
133,55;-87496,20695
133,6;-87492,43883
133,65;-87488,62884
133,7;-87484,86072
133,75;-87481,0926
133,8;-87477,28261
133,85;-87473,51449
133,9;-87469,74637
133,95;-87465,93638
134;-87462,1264
134,05;-87458,35828
134,1;-87454,54829
134,15;-87450,78017
134,2;-87446,97018
134,25;-87443,16019
134,3;-87439,3502
134,35;-87435,58208
134,4;-87431,7721
134,45;-87427,96211
134,5;-87424,15212
134,55;-87420,34213
134,6;-87416,53214
134,65;-87412,72216
134,7;-87408,8703
134,75;-87405,06031
134,8;-87401,25032
134,85;-87397,44034
134,9;-87393,58848
134,95;-87389,77849
135;-87385,9685
135,05;-87382,11665
135,1;-87378,30666
135,15;-87374,4548
135,2;-87370,64482
135,25;-87366,79296
135,3;-87362,9411
135,35;-87359,13112
135,4;-87355,27926
135,45;-87351,4274
135,5;-87347,57555
135,55;-87343,76556
135,6;-87339,9137
135,65;-87336,06185
135,7;-87332,20999
135,75;-87328,35814
135,8;-87324,50628
135,85;-87320,61256
135,9;-87316,7607
135,95;-87312,90884
136;-87309,05699
136,05;-87305,16326
136,1;-87301,31141
136,15;-87297,45955
136,2;-87293,56583
136,25;-87289,71397
136,3;-87285,82025
136,35;-87281,96839
136,4;-87278,07467
136,45;-87274,18094
136,5;-87270,32909
136,55;-87266,43536
136,6;-87262,54164
136,65;-87258,64792
136,7;-87254,75419
136,75;-87250,86047
136,8;-87246,96674
136,85;-87243,07302
136,9;-87239,1793
136,95;-87235,28557
137;-87231,39185
137,05;-87227,49812
137,1;-87223,6044
137,15;-87219,66881
137,2;-87215,77508
137,25;-87211,88136
137,3;-87207,94577
137,35;-87204,05204
137,4;-87200,11645
137,45;-87196,22273
137,5;-87192,28714
137,55;-87188,35154
137,6;-87184,45782
137,65;-87180,52223
137,7;-87176,58664
137,75;-87172,65104
137,8;-87168,71545
137,85;-87164,77986
137,9;-87160,84427
137,95;-87156,90868
138;-87152,97308
138,05;-87149,03749
138,1;-87145,1019
138,15;-87141,16631
138,2;-87137,18885
138,25;-87133,25326
138,3;-87129,31766
138,35;-87125,3402
138,4;-87121,40461
138,45;-87117,42715
138,5;-87113,49156
138,55;-87109,5141
138,6;-87105,57851
138,65;-87101,60105
138,7;-87097,62359
138,75;-87093,64613
138,8;-87089,71054
138,85;-87085,73308
138,9;-87081,75562
138,95;-87077,77816
139;-87073,8007
139,05;-87069,82324
139,1;-87065,84578
139,15;-87061,82645
139,2;-87057,84899
139,25;-87053,87153
139,3;-87049,89407
139,35;-87045,87474
139,4;-87041,89728
139,45;-87037,87795
139,5;-87033,90049
139,55;-87029,88116
139,6;-87025,9037
139,65;-87021,88438
139,7;-87017,86505
139,75;-87013,88759
139,8;-87009,86826
139,85;-87005,84893
139,9;-87001,8296
139,95;-86997,81028
140;-86993,79095
140,05;-86989,77162
140,1;-86985,75229
140,15;-86981,73296
140,2;-86977,71364
140,25;-86973,65244
140,3;-86969,63311
140,35;-86965,61378
140,4;-86961,55259
140,45;-86957,53326
140,5;-86953,47206
140,55;-86949,45274
140,6;-86945,39154
140,65;-86941,37221
140,7;-86937,31102
140,75;-86933,24982
140,8;-86929,23049
140,85;-86925,1693
140,9;-86921,1081
140,95;-86917,0469
141;-86912,98571
141,05;-86908,92451
141,1;-86904,86332
141,15;-86900,80212
141,2;-86896,69906
141,25;-86892,63786
141,3;-86888,57666
141,35;-86884,51547
141,4;-86880,4124
141,45;-86876,35121
141,5;-86872,24814
141,55;-86868,18695
141,6;-86864,08388
141,65;-86859,98082
141,7;-86855,91962
141,75;-86851,81656
141,8;-86847,7135
141,85;-86843,61043
141,9;-86839,50737
141,95;-86835,4043
142;-86831,30124
142,05;-86827,19818
142,1;-86823,09511
142,15;-86818,99205
142,2;-86814,88898
142,25;-86810,78592
142,3;-86806,64099
142,35;-86802,53792
142,4;-86798,39299
142,45;-86794,28993
142,5;-86790,145
142,55;-86786,04193
142,6;-86781,897
142,65;-86777,75207
142,7;-86773,649
142,75;-86769,50407
142,8;-86765,35914
142,85;-86761,21421
142,9;-86757,06928
142,95;-86752,92434
143;-86748,77941
143,05;-86744,63448
143,1;-86740,48955
143,15;-86736,34462
143,2;-86732,15782
143,25;-86728,01288
143,3;-86723,86795
143,35;-86719,68115
143,4;-86715,53622
143,45;-86711,34942
143,5;-86707,16262
143,55;-86703,01769
143,6;-86698,83089
143,65;-86694,64409
143,7;-86690,49916
143,75;-86686,31236
143,8;-86682,12556
143,85;-86677,93876
143,9;-86673,75196
143,95;-86669,56516
144;-86665,33649
144,05;-86661,14969
144,1;-86656,96289
